dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,Driver,Race,LapNumber
-0.32156572,0.16481875,0.14575112,0.20958816,-0.034853503,-0.038098887,-0.2733986,-0.24720678,-0.19744293,-0.04097626,0.0520808,-0.16252062,-0.004454369,-0.12554422,-0.014141579,-0.233979,0.038828284,-0.23497449,0.16803834,0.44135943,-0.19150369,0.06522755,0.24226198,-0.01197867,0.102870286,0.021897899,0.13672104,-0.32474902,0.022488214,0.09340032,-0.0062152823,0.034891736,ALO,2023_Bahrain,2.0
-0.2513348,0.15146773,0.1266244,0.26299766,-0.0411318,-0.087383464,-0.2103752,-0.27957886,-0.1819194,0.05376747,0.04521372,-0.21589509,0.110374175,-0.048118245,0.019274145,-0.10017265,0.024238423,-0.2893603,0.16189183,0.42815745,-0.15003112,0.026268736,0.28656945,0.010084733,-0.04815026,-0.05518901,0.18446228,-0.32556915,-0.068358965,0.028680012,0.14957188,0.12195094,ALO,2023_Bahrain,3.0
-0.21490456,0.14962249,0.101223335,0.2592962,0.04519819,-0.095805645,-0.23479165,-0.25012997,-0.1521828,0.08573218,0.04498969,-0.24104196,0.09456657,-0.03897603,-0.01947094,-0.09674739,0.07534716,-0.3026576,0.1827571,0.42146364,-0.13508163,-0.021081561,0.2671542,-0.041901443,-0.07615775,-0.058979854,0.23659053,-0.329011,-0.06904129,0.06964185,0.13559024,0.11209984,ALO,2023_Bahrain,4.0
-0.2500681,0.15181802,0.1574345,0.23328583,0.009137864,-0.11003441,-0.26574618,-0.19462739,-0.17424192,0.10329078,0.035714198,-0.12697165,0.057014663,0.107825965,0.11270491,-0.15486176,-0.022806052,-0.39292672,0.058902964,0.3792855,-0.12409934,-0.012641153,0.2584582,-0.0210399,-0.06546678,-0.12613522,0.18481727,-0.3360428,-0.105426334,0.04267982,0.12747142,0.15173568,ALO,2023_Bahrain,5.0
-0.27605593,0.14888966,0.14821236,0.20165092,0.09507931,-0.11691087,-0.29970542,-0.15201332,-0.18402578,0.13081527,0.05931553,-0.12087048,0.027493842,0.12092008,0.07615126,-0.16274972,0.017459262,-0.40744668,0.082242124,0.3476759,-0.10761645,-0.07436393,0.22514583,-0.04501522,-0.052368805,-0.088346966,0.21731794,-0.3430019,-0.09651651,0.08963651,0.08342263,0.15186344,ALO,2023_Bahrain,6.0
-0.23295942,0.15578005,0.11948385,0.19731885,0.09685446,-0.15397178,-0.27475753,-0.16732568,-0.21155243,0.171309,0.05569026,-0.12349945,0.06505371,0.11491323,0.049610276,-0.10931223,0.008413009,-0.37767485,0.1011062,0.3576576,-0.11425363,-0.0910027,0.22718576,-0.06106204,-0.06472249,-0.08458765,0.22770481,-0.3524209,-0.095673315,0.110345736,0.1389471,0.14769617,ALO,2023_Bahrain,7.0
-0.26796085,0.15306261,0.11355613,0.2188771,0.11092915,-0.105611205,-0.31394392,-0.14483215,-0.1738889,0.13468258,0.045282327,-0.14383519,0.005327721,0.09250348,0.037024517,-0.14011207,0.034633894,-0.39464265,0.107188515,0.36922762,-0.12570547,-0.094976895,0.20019914,-0.036360517,-0.015581542,-0.083541416,0.23971038,-0.35102925,-0.056973588,0.10453267,0.088215314,0.13936633,ALO,2023_Bahrain,8.0
-0.29132962,0.17480737,0.14973399,0.22988605,0.08262311,-0.11840303,-0.28382984,-0.16132681,-0.19030552,0.11179835,0.053595122,-0.13036521,0.023074139,0.059810556,0.06880886,-0.15240759,0.026564859,-0.39043292,0.09798033,0.35779548,-0.118015505,-0.073603764,0.24414913,-0.05440514,-0.003949987,-0.07224726,0.22265364,-0.3364764,-0.08125209,0.08635992,0.086208455,0.13792014,ALO,2023_Bahrain,9.0
-0.27268812,0.14279673,0.1269948,0.21765268,-0.0381604,-0.033957493,-0.24976602,-0.24484923,-0.16380088,-0.03947503,0.062178824,-0.1796628,0.019642517,-0.13022164,-0.03681574,-0.20803267,0.070677266,-0.24371293,0.20661543,0.4642095,-0.19010057,0.076408304,0.25265408,-0.018748434,0.13154233,0.008334111,0.14668737,-0.33401942,0.016280558,0.09121584,0.0032959296,0.050073102,ALO,2023_Bahrain,10.0
-0.25285238,0.12901911,0.12706435,0.21484475,0.009772716,-0.032579966,-0.25484225,-0.21554148,-0.19607538,0.0022949157,0.09391184,-0.16783994,0.030211683,-0.1584041,-0.1281033,-0.18707249,0.099945106,-0.22765717,0.2365708,0.44414395,-0.15415142,0.05289087,0.21447168,-0.01800939,0.12490406,0.01925147,0.20748678,-0.35179067,0.03696272,0.1372156,0.00431349,0.027999807,ALO,2023_Bahrain,11.0
-0.21608712,0.14989877,0.12440797,0.24303554,-0.015941942,-0.07991174,-0.22412811,-0.23148046,-0.18514842,0.061526075,0.096707016,-0.18077219,0.078098506,-0.123624004,-0.09099694,-0.12437377,0.0740028,-0.24582174,0.24263126,0.43758982,-0.1626413,0.03313275,0.26194975,-0.046486385,0.037035342,0.008668147,0.24721771,-0.34313217,-0.0047189738,0.1286111,0.08251394,0.048437595,ALO,2023_Bahrain,12.0
-0.27519596,0.15331267,0.14688742,0.21688263,-0.04585863,-0.052546855,-0.26918903,-0.22928707,-0.19263068,-0.031818688,0.053883117,-0.15033305,0.03336187,-0.09924807,-0.021882521,-0.20228346,0.03381054,-0.26973313,0.19084428,0.4445461,-0.17162031,0.05032387,0.2537629,-0.022548167,0.092281334,-0.018994998,0.17517659,-0.3569335,0.0027442256,0.09780092,0.02861852,0.063855045,ALO,2023_Bahrain,13.0
-0.27536616,0.15460764,0.16235907,0.21273872,-0.020989828,-0.04664953,-0.26077062,-0.23006068,-0.17549635,-0.0059923255,0.06429177,-0.17393748,0.01306786,-0.0819247,-0.01034386,-0.22397268,0.043825418,-0.2702041,0.18661924,0.43330634,-0.15931718,0.036334496,0.24389565,-0.013960224,0.09531521,-0.020749688,0.21109459,-0.36349237,0.006257979,0.09476982,0.0043878076,0.05994382,ALO,2023_Bahrain,14.0
-0.3030849,0.1690046,0.17372295,0.23237601,0.014330662,-0.06962059,-0.21638152,-0.24080911,-0.16256244,0.025499329,0.04988433,-0.19333,0.0436767,-0.049762733,-0.0016086261,-0.1099986,0.07353952,-0.34459046,0.18339212,0.39942515,-0.15587333,-0.010862908,0.24918018,-0.015283288,0.01669045,-0.039698422,0.23008846,-0.34657305,-0.0646839,0.06321399,0.08301439,0.08981377,ALO,2023_Bahrain,16.0
-0.24615699,0.16637145,0.12843056,0.24557321,0.030688632,-0.09679998,-0.26998463,-0.19554338,-0.19477479,0.11175661,0.07445056,-0.15851174,0.099076346,0.024541037,0.028902574,-0.11634427,0.034814924,-0.34863034,0.13015075,0.37853086,-0.09590813,-0.05079644,0.26914534,-0.04510827,-0.06686471,-0.07968349,0.26052356,-0.34482348,-0.07354175,0.07687663,0.10366388,0.13677444,ALO,2023_Bahrain,17.0
-0.28086957,0.16243277,0.1376076,0.22180311,0.008556718,-0.08305386,-0.30726242,-0.1827523,-0.19450188,0.08046059,0.06032595,-0.14427277,0.055741534,0.07145982,0.08970158,-0.19522737,0.0034230659,-0.35611624,0.087193094,0.39658806,-0.13619408,0.010007894,0.2533635,-0.024297262,-0.028269686,-0.086253956,0.17824675,-0.35344416,-0.07155639,0.06192628,0.06796071,0.12259001,ALO,2023_Bahrain,18.0
-0.29768014,0.15397553,0.15249303,0.1750887,0.12858422,-0.12937194,-0.3442192,-0.11711178,-0.18030502,0.15445058,0.03756705,-0.10846599,0.0018432378,0.14030671,0.12284764,-0.18276785,0.014696524,-0.42143747,0.03385193,0.3150254,-0.13471723,-0.0550487,0.18644217,-0.033422068,-0.022857327,-0.108001076,0.18050356,-0.34273082,-0.08573308,0.072267435,0.08700965,0.11368236,ALO,2023_Bahrain,19.0
-0.27062008,0.16071132,0.14733316,0.23627734,0.0012372495,-0.07103332,-0.28874445,-0.22782601,-0.17149536,0.04919725,0.050628494,-0.1724826,0.04963537,0.008047459,0.026763225,-0.19759107,0.013039695,-0.32806852,0.13171196,0.41723976,-0.1428148,0.009154147,0.2681357,-0.014577698,0.007099843,-0.054659653,0.19106448,-0.3545618,-0.04914252,0.043901764,0.056890335,0.10947212,ALO,2023_Bahrain,20.0
-0.3093212,0.18529038,0.13855904,0.18986537,0.1230857,-0.09592992,-0.37037346,-0.11936438,-0.18153125,0.11814103,0.04929929,-0.1120524,-0.022086434,0.09209673,0.057528906,-0.23634313,0.028925942,-0.3802188,0.069236316,0.34287798,-0.12999028,-0.05869361,0.1871605,-0.021944888,0.06837225,-0.055200186,0.16599673,-0.35383558,-0.034143433,0.09712634,0.031079153,0.115207344,ALO,2023_Bahrain,21.0
-0.30189174,0.17094609,0.16062334,0.20222995,0.09189094,-0.1317389,-0.30175424,-0.17441872,-0.20525958,0.121183135,0.055715714,-0.12481301,0.05650215,0.103344694,0.08301928,-0.15211788,0.022586841,-0.38655716,0.06882009,0.34031904,-0.10670074,-0.03741844,0.22357212,-0.036098935,-0.030399656,-0.10226977,0.18611668,-0.3500221,-0.087745525,0.093968384,0.10359436,0.12609349,ALO,2023_Bahrain,22.0
-0.26500887,0.16551158,0.14798278,0.25041166,-0.002021132,-0.07654208,-0.26416156,-0.2134899,-0.17600292,0.07661485,0.052026846,-0.15317355,0.051273707,0.027815485,0.054252576,-0.17201436,0.01664139,-0.3576564,0.12618487,0.40201616,-0.13842845,-0.022583976,0.25535712,-0.0071038725,0.0030059547,-0.061163392,0.20444469,-0.35484278,-0.07177356,0.074272506,0.08595253,0.1319741,ALO,2023_Bahrain,23.0
-0.2696471,0.1559117,0.17902373,0.24287133,0.0042177397,-0.07997868,-0.2686979,-0.2260529,-0.15835969,0.054521646,0.046444155,-0.16764398,0.06881119,0.023789054,0.07172213,-0.1654317,0.016825896,-0.36464697,0.10187173,0.39971036,-0.14530511,-0.0019196532,0.26586378,-0.0077070678,0.003918406,-0.07494071,0.19109793,-0.35092837,-0.062320605,0.039160147,0.07556288,0.12010087,ALO,2023_Bahrain,24.0
-0.25632715,0.16010515,0.13115144,0.23940317,-0.00050972326,-0.07492706,-0.25389814,-0.2487928,-0.19813594,0.048438817,0.07804982,-0.19079822,0.08462506,-0.074643485,-0.06293138,-0.13005081,0.05079291,-0.2722159,0.22213604,0.4148092,-0.14515373,0.008493443,0.25905234,-0.016652659,0.015823526,-0.012958602,0.24348333,-0.3336961,-0.021575198,0.08946229,0.09827562,0.0930755,ALO,2023_Bahrain,25.0
-0.28583035,0.15260513,0.13893257,0.23452735,-0.0034992385,-0.06670447,-0.2640656,-0.2543165,-0.19796571,0.034127563,0.069841154,-0.17400916,0.06483835,-0.030277416,0.0064142197,-0.16485855,0.04205988,-0.29323387,0.17844571,0.41625544,-0.14970423,-0.001721323,0.26440096,-0.022495568,0.014755087,-0.017793661,0.20899834,-0.35106868,-0.045513667,0.067620344,0.064449705,0.10014767,ALO,2023_Bahrain,26.0
-0.27366033,0.15238358,0.12659945,0.23972157,0.017334813,-0.093582675,-0.27449155,-0.23509803,-0.19500089,0.084231324,0.045062717,-0.16993885,0.07817657,0.013901289,0.021031301,-0.15090773,0.031137014,-0.355684,0.12661053,0.39055595,-0.15034878,-0.015976517,0.24969508,-0.0045971144,-0.028722795,-0.05963136,0.20206363,-0.34678993,-0.07221989,0.057086047,0.11225063,0.12388779,ALO,2023_Bahrain,27.0
-0.2751213,0.17249869,0.14028822,0.231735,0.033831976,-0.11146202,-0.28935608,-0.17538376,-0.19871229,0.10750667,0.050067037,-0.123089485,0.0579927,0.10267171,0.10583756,-0.16290884,0.0035279347,-0.3860221,0.06788213,0.3616976,-0.12059801,-0.041776765,0.2451722,-0.041306023,-0.032837156,-0.09319209,0.1857963,-0.345378,-0.10507622,0.049428336,0.101386845,0.15123577,ALO,2023_Bahrain,28.0
-0.28078878,0.16186799,0.15380919,0.22626176,0.04703185,-0.10477378,-0.30037022,-0.17499056,-0.17705926,0.11002242,0.043214153,-0.1294599,0.020502511,0.09139111,0.07755292,-0.1913776,0.025543947,-0.40050274,0.07947432,0.3792814,-0.12623768,-0.042006757,0.23408537,-0.01704457,-0.01717548,-0.07028355,0.18676744,-0.33684427,-0.088172965,0.07275873,0.059372693,0.1356095,ALO,2023_Bahrain,29.0
-0.28803504,0.1603548,0.17907433,0.22445406,0.070572086,-0.11032214,-0.2931698,-0.1553988,-0.19732997,0.0800601,0.069730505,-0.13475564,0.038278524,0.06808814,0.060647253,-0.14537425,0.042253148,-0.39059424,0.08518485,0.35875952,-0.13198303,-0.06359553,0.23500386,-0.042418122,-0.026679646,-0.09542764,0.22016598,-0.34960896,-0.07022957,0.08866885,0.06699027,0.12545748,ALO,2023_Bahrain,30.0
-0.26600838,0.16402547,0.16661996,0.235831,0.0398707,-0.091641046,-0.2836846,-0.20421109,-0.18340844,0.076331615,0.05734626,-0.14401542,0.05180268,0.031529266,0.048737153,-0.17799662,0.033179298,-0.36617792,0.11798609,0.37412882,-0.13146465,-0.040488113,0.25564602,-0.01826526,0.018988872,-0.062698096,0.22923864,-0.35709655,-0.06507214,0.06425255,0.07030475,0.11917913,ALO,2023_Bahrain,31.0
-0.2482262,0.1658653,0.17524073,0.25389367,0.025232464,-0.0979049,-0.2643679,-0.19353473,-0.1800844,0.100298144,0.05208908,-0.1611284,0.08591574,0.034457404,0.05362254,-0.12613115,0.034493957,-0.35367575,0.12373206,0.3645388,-0.1097857,-0.05021566,0.26764503,-0.021529244,-0.035019424,-0.092386596,0.2552558,-0.3578741,-0.086421914,0.062432192,0.094753295,0.12301189,ALO,2023_Bahrain,32.0
-0.27753875,0.15768124,0.15113555,0.2506814,0.021299493,-0.07667165,-0.29757,-0.19529006,-0.18199016,0.07955558,0.06711278,-0.15588911,0.0547149,0.0028885233,0.021900814,-0.16616108,0.050005004,-0.35144117,0.1267834,0.3945834,-0.14519677,-0.04042188,0.23522307,-0.01855664,0.021743134,-0.058092907,0.23043777,-0.35357794,-0.040167846,0.08212861,0.048565477,0.10585781,ALO,2023_Bahrain,33.0
-0.26821172,0.14885594,0.17859787,0.2335566,0.029884547,-0.061673474,-0.26222262,-0.2222653,-0.16912651,0.050655995,0.07169151,-0.186401,0.05334827,-0.017633827,0.004546494,-0.16511145,0.05667152,-0.33091456,0.15719418,0.41085696,-0.12804687,-0.01856123,0.250784,-0.018496003,0.024802648,-0.047088508,0.24443418,-0.357386,-0.03960122,0.084756695,0.04273978,0.08953574,ALO,2023_Bahrain,34.0
-0.27672607,0.12992969,0.17498519,0.23649794,-0.022184316,-0.030453188,-0.25770018,-0.23393913,-0.121005274,-0.020173607,0.052688915,-0.2045559,0.028084004,-0.07583516,-0.0028704163,-0.19656754,0.07063178,-0.32512164,0.17374548,0.43714607,-0.17699935,0.007876369,0.24658738,-0.002529279,0.05827892,-0.023321765,0.1994059,-0.34383515,-0.025945753,0.014692242,-0.00205842,0.074698225,ALO,2023_Bahrain,36.0
-0.22602054,0.13858145,0.109990455,0.20018771,0.06391993,-0.040460575,-0.2373672,-0.23238286,-0.19066037,0.01101254,0.101306945,-0.20188801,0.055578794,-0.14996395,-0.17880991,-0.114952326,0.11831662,-0.21685044,0.28810525,0.4088809,-0.15987405,-0.009727974,0.21414037,-0.0280971,0.085304506,0.062104408,0.26027527,-0.34357327,0.03408122,0.13246603,0.041457973,0.04849069,ALO,2023_Bahrain,37.0
-0.26936734,0.15207611,0.14004275,0.23146185,-0.0156422,-0.07430227,-0.25793198,-0.25075415,-0.18466437,0.0075450633,0.055837937,-0.17445385,0.04589419,-0.09261152,-0.042297762,-0.1702144,0.053397745,-0.26642302,0.22885099,0.43027046,-0.1810012,0.0032457227,0.2378397,-0.016933884,0.079798296,0.005184564,0.20517717,-0.34639394,0.0130734425,0.09539614,0.050326962,0.07450408,ALO,2023_Bahrain,38.0
-0.27520582,0.1508853,0.1537797,0.23376982,-0.0020878776,-0.055437334,-0.27221042,-0.21733351,-0.17195828,0.0359036,0.06795761,-0.16895938,0.039785556,-0.040981717,-0.0039086477,-0.18780348,0.05415389,-0.3118821,0.17717265,0.4298468,-0.15879469,0.012648111,0.24236755,-0.00889313,0.05822466,-0.018447733,0.20104177,-0.364317,-0.022808209,0.093673326,0.028098904,0.093268804,ALO,2023_Bahrain,39.0
