dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,Driver,Race,LapNumber
0.0,6.1677017,3.280771,1.445784,0.0,3.1273768,1.2079403,2.731371,0.47626567,0.0,3.620863,0.0,0.0,0.3702765,0.0,0.0,7.268028,0.20605716,0.0,6.753879,0.0,7.9066668,0.8729238,8.341355,5.524136,0.0,6.0367064,0.0,0.5070599,0.0,2.1850865,0.0,ALO,2023_Bahrain,2.0
0.0,4.7875285,2.1576018,2.8265727,0.0,4.277076,0.5884673,4.5728173,1.5887257,0.0,4.8682027,1.3763728,0.6421572,1.2303694,0.99784505,0.0,6.526194,1.4362351,0.0,5.164442,0.0,7.5307527,0.0,8.29291,5.575679,0.0,5.742565,0.0,2.4760807,0.0,2.7577498,0.0,ALO,2023_Bahrain,3.0
0.118387006,4.813136,2.432006,2.8757544,0.0,4.109265,1.291314,4.3648076,1.7955534,0.0,4.3764777,1.7124337,1.2326851,1.3478818,1.0467762,0.31140345,6.04348,1.7017674,0.0,5.0728817,0.0,7.13023,0.40247804,7.816158,5.1271024,0.0,5.546263,0.0,2.3834114,0.0,2.7011278,0.0,ALO,2023_Bahrain,4.0
0.0,5.267689,1.7418572,2.8026004,0.0,5.2204876,0.0,5.126582,1.7396815,0.0,6.1594496,0.14817758,0.0,1.42461,0.4486738,0.0,8.381451,0.46751055,0.0,5.5674057,0.0,9.03632,0.0,9.804708,5.9632235,0.0,7.3776803,0.0,2.80647,0.0,2.4534128,0.0,ALO,2023_Bahrain,5.0
0.0,5.0105915,1.3998202,3.0095818,0.0,4.6283693,0.0,5.020147,0.9865111,0.0,6.0759387,0.57541645,0.0,0.79267436,0.46819413,0.0,8.055294,0.99061894,0.0,5.6873827,0.0,9.2238865,0.0,10.117029,6.4833746,0.0,6.461398,0.0,2.4416094,0.0,3.4255261,0.0,ALO,2023_Bahrain,6.0
0.0,4.4818063,1.6108794,3.1996894,0.0,4.7708244,0.0,5.4059567,1.8424166,0.0,5.8669333,1.4003308,0.31964946,1.4203165,1.1880164,0.0,7.135999,1.4365227,0.0,4.822392,0.0,8.186518,0.0,9.017025,5.9093585,0.0,6.2180963,0.0,3.1617892,0.0,3.1246588,0.0,ALO,2023_Bahrain,7.0
0.0,4.674135,1.4565599,3.4914222,0.0,4.62829,0.19248888,5.483062,1.2372111,0.0,6.0494943,1.6902297,0.21342373,0.9346947,1.1426623,0.0,7.3018513,1.8469735,0.0,5.41963,0.0,8.832854,0.0,9.839054,6.663375,0.0,5.803218,0.0,2.876136,0.0,3.9130821,0.0,ALO,2023_Bahrain,8.0
0.0,4.943582,1.4808875,3.1951993,0.0,4.2741604,0.14378734,4.8610973,0.67717505,0.0,5.70108,1.1808679,0.0,0.5074542,0.6862012,0.0,7.455323,1.5411354,0.0,5.7974887,0.0,8.962105,0.0,9.955825,6.6852217,0.0,5.7252793,0.0,2.2669497,0.0,3.9196966,0.0,ALO,2023_Bahrain,9.0
0.0,6.864196,3.1575387,1.8672416,0.0,3.2140448,1.4105905,2.9701107,0.0,0.0,4.1739535,0.0,0.0,0.0,0.0,0.0,8.231347,0.520187,0.0,7.863488,0.0,9.430006,0.9767412,10.092372,6.6925254,0.0,6.262404,0.0,0.17270878,0.0,3.2483938,0.0,ALO,2023_Bahrain,10.0
0.0,6.480411,2.2895067,2.5955315,0.0,2.8539724,1.8667703,3.1868236,0.0,0.0,4.5285606,0.73721075,0.0,0.0,0.0,0.0,7.925932,1.5020255,0.0,8.283571,0.0,10.2048435,0.776947,11.296707,8.042961,0.0,4.8205743,0.0,0.0,0.0,5.0526996,0.0,ALO,2023_Bahrain,11.0
