Driver,Race,LapNumber,umap_x,umap_y
ALO,2023_Bahrain,2.0,-4.7790523,12.703659
ALO,2023_Bahrain,3.0,-6.4280534,12.720097
ALO,2023_Bahrain,4.0,-6.216639,12.624918
ALO,2023_Bahrain,5.0,-6.568096,13.11493
ALO,2023_Bahrain,6.0,-6.5679145,13.186954
ALO,2023_Bahrain,7.0,-6.5775146,13.025957
ALO,2023_Bahrain,8.0,-6.598348,13.168321
ALO,2023_Bahrain,9.0,-6.5091605,13.228234
ALO,2023_Bahrain,10.0,-5.013516,13.317617
ALO,2023_Bahrain,11.0,-5.1579947,13.239131
ALO,2023_Bahrain,12.0,-5.195665,13.161874
ALO,2023_Bahrain,13.0,-4.8685226,13.334343
ALO,2023_Bahrain,14.0,-5.1973486,13.306677
ALO,2023_Bahrain,16.0,-5.2106595,12.553343
ALO,2023_Bahrain,17.0,-6.102582,12.95117
ALO,2023_Bahrain,18.0,-6.5090127,13.083
ALO,2023_Bahrain,19.0,-6.6141114,13.080647
ALO,2023_Bahrain,20.0,-6.4372025,13.29292
ALO,2023_Bahrain,21.0,-6.604856,13.18974
ALO,2023_Bahrain,22.0,-6.564545,13.027733
ALO,2023_Bahrain,23.0,-6.3883495,13.282143
ALO,2023_Bahrain,24.0,-6.5042987,13.221941
ALO,2023_Bahrain,25.0,-6.255225,13.301078
ALO,2023_Bahrain,26.0,-6.188977,13.266081
ALO,2023_Bahrain,27.0,-6.4896197,12.944854
ALO,2023_Bahrain,28.0,-6.547688,13.084551
ALO,2023_Bahrain,29.0,-6.532546,13.137287
ALO,2023_Bahrain,30.0,-6.6156654,13.125921
ALO,2023_Bahrain,31.0,-6.3706365,13.328472
ALO,2023_Bahrain,32.0,-6.4140673,13.138682
ALO,2023_Bahrain,33.0,-6.2938657,13.370676
ALO,2023_Bahrain,34.0,-6.3806596,13.32957
ALO,2023_Bahrain,36.0,-5.937662,13.136238
ALO,2023_Bahrain,37.0,-5.0189114,13.249571
ALO,2023_Bahrain,38.0,-5.0605936,13.267423
ALO,2023_Bahrain,39.0,-6.3517084,13.373441
ALO,2023_Bahrain,40.0,-6.136116,13.186115
ALO,2023_Bahrain,42.0,-6.536075,13.211455
ALO,2023_Bahrain,43.0,-6.3143697,13.356634
ALO,2023_Bahrain,44.0,-5.251858,13.24014
ALO,2023_Bahrain,45.0,-6.243683,13.291019
ALO,2023_Bahrain,46.0,-6.375904,13.306712
ALO,2023_Bahrain,47.0,-6.5133977,13.074033
ALO,2023_Bahrain,48.0,-6.2997575,13.357442
